Team,Total Wins,Total Losses,Win/Loss Ratio,Recent Wins,NRR,Average Position,Qualified Count
KKR,121,115,1.0521739130434782,44,2.706,4.705882352941177,8
RR,107,100,1.07,33,-1.7459999999999998,4.933333333333334,5
CSK,121,89,1.3595505617977528,38,4.561,3.066666666666667,12
SRH,81,86,0.9418604651162791,26,0.5700000000000001,5.0,6
RCB,116,119,0.9747899159663865,48,-0.6499999999999997,4.764705882352941,8
DC,45,38,1.1842105263157894,16,-0.67,4.333333333333333,3
LSG,23,16,1.4375,8,-0.2340000000000001,4.333333333333333,2
GT,25,15,1.6666666666666667,8,0.062000000000000055,3.3333333333333335,2
MI,131,109,1.201834862385321,48,4.162,4.0,10
PBKS,110,130,0.8461538461538461,41,-3.1329999999999996,6.0588235294117645,2
