Team,Total Wins,Total Losses,Win/Loss Ratio,Recent Wins,NRR,Average Position,Qualified Count
DD,67,88,0.7613636363636364,19,-2.125,5.909090909090909,3
MI,131,109,1.201834862385321,48,4.162,4.0,10
SRH,81,86,0.9418604651162791,26,0.5700000000000001,5.0,6
KTK,6,8,0.75,2,-0.214,8.0,0
DC,45,38,1.1842105263157894,16,-0.67,4.333333333333333,3
RPS,14,14,1.0,6,0.191,4.5,1
KKR,121,115,1.0521739130434782,44,2.706,4.705882352941177,8
CSK,121,89,1.3595505617977528,38,4.561,3.066666666666667,12
PBKS,110,130,0.8461538461538461,41,-3.1329999999999996,6.0588235294117645,2
RR,107,100,1.07,33,-1.7459999999999998,4.933333333333334,5
GL,13,15,0.8666666666666667,4,-0.786,4.0,1
LSG,23,16,1.4375,8,-0.2340000000000001,4.333333333333333,2
RCB,116,119,0.9747899159663865,48,-0.6499999999999997,4.764705882352941,8
GT,25,15,1.6666666666666667,8,0.062000000000000055,3.3333333333333335,2
PWI,12,33,0.36363636363636365,4,-1.691,8.666666666666666,0
DEC,27,44,0.6136363636363636,12,-0.848,5.8,2
